Action id,"
Municipality/Region name ",Province,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)"
ID-Nanaimo-025,Nanaimo,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing
ID-Nanaimo-026,Nanaimo,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Ongoing
ID-Nanaimo-027,Nanaimo,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing
ID-Nanaimo-028,Nanaimo,British Columbia,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,No,No,Ongoing
ID-Nelson-001,Nelson,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Nelson-002,Nelson,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway
ID-Nelson-003,Nelson,British Columbia,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway
ID-Nelson-004,Nelson,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Nelson-005,Nelson,British Columbia,,,,No,No,Underway
ID-Nelson-006,Nelson,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Nelson-007,Nelson,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Nelson-008,Nelson,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Nelson-009,Nelson,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Nelson-010,Nelson,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-Nelson-011,Nelson,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-Nelson-012,Nelson,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway
ID-Nelson-013,Nelson,British Columbia,Price signals,Support/Provide Rewards for Performance,,No,No,Underway
ID-Nelson-014,Nelson,British Columbia,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Underway
ID-Nelson-015,Nelson,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Nelson-016,Nelson,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Nelson-017,Nelson,British Columbia,Public investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,No,No,Underway
ID-Nelson-018,Nelson,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Nelson-019,Nelson,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote “cool roofs” — coating of rooftops white to reduce building energy use — and other low-cost approaches,No,No,Underway
ID-New Westminster-001,New Westminster,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,No,Ongoing
ID-New Westminster-002,New Westminster,British Columbia,Public investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,Yes,No,Ongoing
ID-New Westminster-003,New Westminster,British Columbia,Price signals,Increase Access to Financing,,Yes,No,Planned
ID-New Westminster-004,New Westminster,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-New Westminster-005,New Westminster,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-New Westminster-006,New Westminster,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-New Westminster-007,New Westminster,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-New Westminster-008,New Westminster,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-New Westminster-009,New Westminster,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-New Westminster-010,New Westminster,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-New Westminster-011,New Westminster,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned
ID-New Westminster-012,New Westminster,British Columbia,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",Yes,No,Planned
ID-New Westminster-013,New Westminster,British Columbia,Mandates,Mandate Reporting,Require energy audits and disclosure,Yes,No,Planned
ID-New Westminster-014,New Westminster,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned
ID-New Westminster-015,New Westminster,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-New Westminster-016,New Westminster,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-Oakville-001,Oakville,Ontario,,,,No,No,Complete
ID-Oakville-002,Oakville,Ontario,,,,No,No,Underway
ID-Oakville-003,Oakville,Ontario,,,,No,No,Complete
ID-Oakville-004,Oakville,Ontario,,,,No,No,Underway
ID-Oakville-005,Oakville,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-Oakville-006,Oakville,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Okotoks-001,Okotoks,Alberta,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway
ID-Okotoks-002,Okotoks,Alberta,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Okotoks-003,Okotoks,Alberta,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Okotoks-004,Okotoks,Alberta,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway
ID-Okotoks-005,Okotoks,Alberta,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Okotoks-006,Okotoks,Alberta,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-Okotoks-007,Okotoks,Alberta,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Okotoks-008,Okotoks,Alberta,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway
ID-Okotoks-009,Okotoks,Alberta,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-Okotoks-010,Okotoks,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Okotoks-011,Okotoks,Alberta,Price signals,,,No,No,Underway
ID-Okotoks-012,Okotoks,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Underway
ID-Okotoks-013,Okotoks,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-Okotoks-014,Okotoks,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-Okotoks-015,Okotoks,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-Okotoks-016,Okotoks,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Okotoks-017,Okotoks,Alberta,Public investment,Expand capacity of efficient heating and cooling\Invest in Technology Development and Deployment,Develop and expand low- to no-carbon district heating and cooling systems ,No,No,Underway
ID-Okotoks-018,Okotoks,Alberta,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Underway
ID-Okotoks-019,Okotoks,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Ongoing
ID-Okotoks-020,Okotoks,Alberta,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Work with utilities to improve customer access to energy use data ,No,No,Ongoing
ID-Orillia-001,Orillia,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-Orillia-002,Orillia,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Underway
ID-Orillia-003,Orillia,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway
ID-Orillia-004,Orillia,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,Yes,No,Underway
ID-Orillia-005,Orillia,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Underway
ID-Orillia-006,Orillia,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Underway
ID-Orillia-007,Orillia,Ontario,,,,Yes,Yes,Underway
ID-Orillia-008,Orillia,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Underway
ID-Orillia-009,Orillia,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-Ottawa-001,Ottawa,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway
ID-Ottawa-002,Ottawa,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway
ID-Ottawa-003,Ottawa,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned
ID-Ottawa-004,Ottawa,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Ottawa-005,Ottawa,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Ottawa-006,Ottawa,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Ottawa-007,Ottawa,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-Owen Sound-001,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing
ID-Owen Sound-002,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing
ID-Owen Sound-003,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing
ID-Owen Sound-004,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing
ID-Owen Sound-005,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing
ID-Owen Sound-006,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing
ID-Owen Sound-007,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Owen Sound-008,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Planned
ID-Owen Sound-009,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Owen Sound-010,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-Owen Sound-011,Owen Sound,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-Peterborough-001,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-002,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing
ID-Peterborough-003,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing
ID-Peterborough-004,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-005,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing
ID-Peterborough-006,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing
ID-Peterborough-007,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-008,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing
ID-Peterborough-009,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing
ID-Peterborough-010,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing
ID-Peterborough-011,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing
ID-Peterborough-012,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing
ID-Peterborough-013,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-014,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-015,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-016,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-017,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-018,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing
ID-Peterborough-019,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing
ID-Peterborough-020,Peterborough,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned
ID-Peterborough-021,Peterborough,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned
ID-Peterborough-022,Peterborough,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",Yes,No,Planned
ID-Peterborough-023,Peterborough,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned
ID-Peterborough-024,Peterborough,Ontario,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,Yes,No,Planned
ID-Peterborough-025,Peterborough,Ontario,,,,Yes,No,Planned
ID-Peterborough-026,Peterborough,Ontario,,,,Yes,No,Planned
ID-Peterborough-027,Peterborough,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Underway
ID-Port Moody-001,Port Moody,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned
ID-Port Moody-002,Port Moody,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Port Moody-003,Port Moody,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Complete
ID-Port Moody-004,Port Moody,British Columbia,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Underway
ID-Port Moody-005,Port Moody,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Port Moody-006,Port Moody,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Planned
ID-Port Moody-007,Port Moody,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Port Moody-008,Port Moody,British Columbia,,,,No,No,Underway
ID-Port Moody-009,Port Moody,British Columbia,Price signals,Increase Access to Financing,,No,No,Planned
ID-Port Moody-010,Port Moody,British Columbia,,,,No,No,Planned
ID-Quispamsis-001,Quispamsis,New Brunswick,,,,No,No,Complete
ID-Quispamsis-002,Quispamsis,New Brunswick,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote “cool roofs” — coating of rooftops white to reduce building energy use — and other low-cost approaches,No,No,Planned
ID-Quispamsis-003,Quispamsis,New Brunswick,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Ongoing
ID-Quispamsis-004,Quispamsis,New Brunswick,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing
ID-Region of Peel-001,Region of Peel,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not Indicated
ID-Region of Peel-002,Region of Peel,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not Indicated
ID-Region of Peel-003,Region of Peel,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not Indicated
ID-Region of Peel-004,Region of Peel,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not Indicated
ID-Richmond Hill-001,Richmond Hill,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Ongoing
ID-Richmond Hill-002,Richmond Hill,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned
ID-Richmond Hill-003,Richmond Hill,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Planned
ID-Richmond Hill-004,Richmond Hill,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Planned
ID-Richmond Hill-005,Richmond Hill,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",Yes,Yes,Planned
ID-Richmond Hill-006,Richmond Hill,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Planned
ID-Richmond Hill-007,Richmond Hill,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Planned
ID-Richmond Hill-008,Richmond Hill,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Planned
ID-Richmond Hill-009,Richmond Hill,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned
ID-Richmond Hill-010,Richmond Hill,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Planned
ID-Richmond Hill-011,Richmond Hill,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,Yes,Planned
ID-Richmond Hill-012,Richmond Hill,Ontario,Mandates,Mandate Reporting,Require building rating system,No,Yes,Planned
ID-Richmond Hill-013,Richmond Hill,Ontario,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,Yes,Planned
ID-Richmond Hill-014,Richmond Hill,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,Yes,Yes,Planned
ID-Saint John-001,Saint John,New Brunswick,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Saint John-002,Saint John,New Brunswick,,,,No,No,Planned
ID-Saint John-003,Saint John,New Brunswick,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Saint John-004,Saint John,New Brunswick,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Saint John-005,Saint John,New Brunswick,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Saint-Laurent-001,Saint-Laurent,Québec,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Complete
